"api_family","section","endpoint_name","method_doc","documented_url","endpoint_key","documented_payload_fields","documented_json_status","parigo_status","parigo_code_refs","parigo_payload_or_query","conformance","live_evidence","evidence_or_note"
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By TrackID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Get External Audio File Ingestion Status","POST","{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken}","getexternalaudiostatus","ExternalID","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL)","Get External Audio File Ingestion Status","POST","{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken}","getexternalaudiostatus","ExternalID, ExternalType","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Free Text)","Search Similar Tracks (By Free Text)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Track ID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL)","Get External Audio File","POST","{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken}","getexternalaudiobyurl","Url, Type, ReturnWaveformDataPoints, ReturnWaveformDataPointsUrl","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Prompt)","Search Similar Tracks (By Prompt)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Registration","Register Member","POST","{HM_ServiceAPI_URL}/registermember/{HM_ServiceAPI_Token}","registermember","MemberAccount, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.Password, MemberAccount.TermsAccept, MemberAccount.PrivacyAccept, MemberAccount.Subscribe, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.Attributes, MemberAccount.ExternalMemberID, MemberAccount.ExternalVerifyToken, MemberAccount.Freelancer, MemberAccount.PositionType, NoMemberEmail, VerifierEmail, RegistrationCode","valid","implemented","src/lib/harvest/member.ts:225","MemberAccount{Username, Email, Password, FirstName, LastName, Company, Country, Production, SubProduction, Position, Address1, Address2, Suburb, State, Postcode, Phone, FileFormat, SearchFormat, SearchSort, TermsAccept, PrivacyAccept, Subscribe, Attributes, ExternalMemberID, ExternalVerifyToken}, NoMemberEmail, VerifierEmail, RegistrationCode","conforme","non exécuté: créerait un compte et peut envoyer des e-mails","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Registration","Validate Username","POST","{HM_ServiceAPI_URL}/validateusername/{HM_ServiceAPI_Token}","validateusername","Username, VerifyEmail","valid","implemented","src/lib/harvest/member.ts:216","Username, VerifyEmail","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Registration","Validate Email","POST","{HM_ServiceAPI_URL}/validatememberemail/{HM_ServiceAPI_Token}","validatememberemail","Email","valid","implemented","src/lib/harvest/member.ts:220","Email","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Verification","Send Verify Member Link Email","POST","{HM_ServiceAPI_URL}/sendmemberverifylinkemail/{HM_ServiceAPI_Token}","sendmemberverifylinkemail","Email, ExternalVerifyToken","valid","implemented","src/lib/harvest/member.ts:238","Email, ExternalVerifyToken","conforme","non exécuté: envoi d'e-mail réel","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Verification","Validate Verify Member Token","GET","{HM_ServiceAPI_URL}/validateverifymembertoken/{HM_ServiceAPI_Token}/{VerifyMemberToken}","validateverifymembertoken","","empty","implemented","src/app/api/auth/verify/route.ts:11 | src/app/api/auth/verify/route.ts:21","aucun body; paramètres dans l'URL","conforme","contrat d'erreur testé; aucun token de vérification valide disponible","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Verification","Verify Member","POST","{HM_ServiceAPI_URL}/verifymember/{HM_ServiceAPI_Token}","verifymember","Token","valid","implemented","src/app/api/auth/verify/route.ts:22","Token","conforme","non exécuté avec un token valide: changement irréversible de statut membre","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Authentication","Authenticate Member & Generate Persistent Member Token","POST","{HM_ServiceAPI_URL}/getmembertoken/{HM_ServiceAPI_Token}","getmembertoken","UserName, Password, PersistentLogin, ReturnMemberDetails","valid","implemented","src/lib/harvest/member.ts:135","UserName, Password, PersistentLogin, ReturnMemberDetails","conforme-requete-reponse-divergente","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Requête conforme et live 200; la réponse live utilise MemberToken et PersistentLoginToken.Token, contrairement à l'exemple."
"Public API","Public API > Member Management > Authentication","Validate Member Token","GET","{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_MemberToken}","getservicetokeninfo","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Authentication","Expire Member Token","GET","{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_MemberToken}","expiretoken","","not-applicable","implemented","src/lib/harvest/member.ts:393","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Authentication","Validate Persistent Member Token","POST","{HM_ServiceAPI_URL}/validatepersistentlogintoken/{HM_ServiceAPI_Token}","validatepersistentlogintoken","Token, RenewExpiry, GenerateMemberToken, ReturnMemberDetails","valid","implemented","src/lib/harvest/member.ts:173","Token, RenewExpiry, GenerateMemberToken, ReturnMemberDetails","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Authentication","Expire Persistent Member Token","POST","{HM_ServiceAPI_URL}/expirepersistentlogintoken/{HM_ServiceAPI_Token}","expirepersistentlogintoken","Token","valid","implemented","src/lib/harvest/member.ts:396","Token","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Single Sign-on","Get Single Sign-on Token","GET","{HM_ServiceAPI_URL}/getssotoken/{HM_ServiceAPI_MemberToken}","getssotoken","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Single Sign-on","Validate Single Sign-on Token","POST","{HM_ServiceAPI_URL}/validatessotoken/{HM_ServiceAPI_Token}","validatessotoken","Token, GenerateMemberToken, ReturnMemberDetails","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Profile","Get Member Details","GET","{HM_ServiceAPI_URL}/getmember/{HM_ServiceAPI_MemberToken}","getmember","","not-applicable","implemented","src/lib/harvest/assets.ts:75 | src/lib/harvest/member.ts:257","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Profile","Get Member Details (Invited)","POST","{HM_ServiceAPI_URL}/getinvitedmembertoken/{HM_ServiceAPI_Token}","getinvitedmembertoken","","non-json:xml","implemented","src/lib/harvest/activity.ts:646","Email, RegionID","conforme-via-exemple-duplique","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","La page Profile ne publie qu'un exemple XML, mais la page Sharing publie le JSON Email/RegionID exact utilisé par Parigo; live 200."
"Public API","Public API > Member Management > Profile","Update Member Details","POST","{HM_ServiceAPI_URL}/updatemember/{HM_ServiceAPI_MemberToken}","updatemember","MemberAccount, MemberAccount.ID, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.Password, MemberAccount.TermsAccept, MemberAccount.PrivacyAccept, MemberAccount.Subscribe, MemberAccount.Locked, MemberAccount.LockedType, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.Attributes, MemberAccount.Status","valid","implemented","src/lib/harvest/member.ts:279","MemberAccount{ID, FirstName, LastName, Email, Username, Company, Country, Production, SubProduction, Position, Address1, Address2, Suburb, State, Postcode, Phone, FileFormat, Website, TermsAccept, PrivacyAccept, Subscribe, SearchFormat, SearchSort, Attributes, Status}","conforme-avec-extension","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Le code ajoute Website, accepté en live mais absent de l'exemple JSON publié."
"Public API","Public API > Member Management > Profile","Get Member Image Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId","valid","implemented","src/lib/harvest/member.ts:325","AssetType=MemberProfileImage, FileName, ContentType, ExpiresInSeconds, ObjectId","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Profile","Confirm Member Image Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","AssetType, FileName, ObjectId","valid","implemented","src/lib/harvest/member.ts:362","AssetType=MemberProfileImage, FileName, ObjectId","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Profile","Remove Member Image","POST","{HM_ServiceAPI_URL}/removeassignedupload/{HM_ServiceAPI_MemberToken}","removeassignedupload","AssetType","valid","implemented","src/lib/harvest/member.ts:371","AssetType=MemberProfileImage","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Profile","Remove Member","POST","{HM_ServiceAPI_URL}/removememberverifypassword/{HM_ServiceAPI_MemberToken}","removememberverifypassword","","empty","implemented","src/app/api/user/delete/route.ts:19","Password, ArchiveOnly","conforme-statique-non-execute","non exécuté: archivage ou suppression du compte de test","Parigo exige le mot de passe actuel et transmet Password/ArchiveOnly en POST. L'appel destructif n'a volontairement pas été exécuté en live."
"Public API","Public API > Member Management > Reset Password","Send Reset Password Email","POST","{HM_ServiceAPI_URL}/sendpasswordresetemail/{HM_ServiceAPI_Token}","sendpasswordresetemail","Username, Email, ExternalResetToken","valid","implemented","src/app/api/auth/forgot-password/route.ts:13 | src/app/api/user/change-password/route.ts:12","Username, Email, ExternalResetToken","exemple-conforme-texte-contradictoire","exécuté: HTTP 200, Code=Failed, Required route not found; aucun e-mail reçu","Parigo envoie exactement Username/Email/ExternalResetToken; la description parle plutôt de ResetLink/ResetTokenExpiryHours et le service répond Required route not found."
"Public API","Public API > Member Management > Reset Password","Validate Reset Password Token","GET","{HM_ServiceAPI_URL}/validatepasswordresettoken/{HM_ServiceAPI_Token}/{ResetToken}","validatepasswordresettoken","","empty","implemented","src/app/api/auth/reset-password/route.ts:14","aucun body; paramètres dans l'URL","conforme","contrat d'erreur testé; aucun reset token valide disponible","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Reset Password","Update Member Password (Reset)","POST","{HM_ServiceAPI_URL}/updatepasswordusingtoken/{HM_ServiceAPI_Token}","updatepasswordusingtoken","Token, Password","valid","implemented","src/app/api/auth/reset-password/route.ts:24","Token, Password","conforme","contrat d'erreur testé; aucun changement de mot de passe réel","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Management > Subscribe","Subscribe Member","POST","{HM_ServiceAPI_URL}/membersubscribe/{HM_ServiceAPI_MemberToken}","membersubscribe","Email, FirstName, LastName, Subscribe","valid","implemented","src/lib/harvest/member.ts:318","FirstName, LastName, Email, Subscribe","requete-conforme-effet-absent","exécuté et relu: HTTP 200 mais aucun changement de Subscribe","HTTP 200, mais Subscribe ne change pas lors de la relecture du membre."
"Public API","Public API > Member Management > Member Groups","Validate Verify Member Group Approval Token","GET","{HM_ServiceAPI_URL}/validatemembergroupmemberapprovaltoken/{HM_ServiceAPI_Token}/{VerifyMemberGroupApprovalToken}","validatemembergroupmemberapprovaltoken","","empty","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Verify Member Group Approval","POST","{HM_ServiceAPI_URL}/verifymembergroupmemberapproval/{HM_ServiceAPI_Token}","verifymembergroupmemberapproval","Token","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Get Member Group Regions","GET","{HM_ServiceAPI_URL}/getmembergroupregions/{HM_ServiceAPI_MemberToken}/{MemberGroupID}","getmembergroupregions","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Update Member Group Region","POST","{HM_ServiceAPI_URL}/updatemembergroupregion/{HM_ServiceAPI_MemberToken}/{MemberGroupID}","updatemembergroupregion","RegionID","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Get Member Group Productions","GET","{HM_ServiceAPI_URL}/getmembergroupproductions/{HM_ServiceAPI_MemberToken}/{MemberGroupID}?sort={Sort}","getmembergroupproductions","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Categories","GET","{HM_ServiceAPI_URL}/getmembergroupproductioncategories/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductioncategories","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Categories & Playlists","GET","{HM_ServiceAPI_URL}/getmembergroupproductioncategoriesandplaylists/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&returntrackcount={ReturnTrackCount}&returnrootobjectsonly={ReturnRootObjectsOnly}&productioncategoryid={ProductionCategoryID}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductioncategoriesandplaylists","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Playlist & Tracks","GET","{HM_ServiceAPI_URL}/getmembergroupproductionplaylistandtracks/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}/{FeaturedPlaylistID}?returntracks={ReturnTracks}&includeinactive={IncludeInactive}&languagecode={LanguageCode}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductionplaylistandtracks","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Management > Member Groups","Search Member Group Production Playlist Tracks","POST","{HM_ServiceAPI_URL}/searchmembergroupproductionplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_MemberGroupID}/{HM_ServiceAPI_MemberGroupProductionID}/{HM_ServiceAPI_FeaturedPlaylistID}","searchmembergroupproductionplaylisttracks","Keyword, Fields, ReturnTrackCount, Skip, Limit, OrderBy","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Create Member Playlist Category","POST","{HM_ServiceAPI_URL}/addmemberplaylistcategory/{HM_ServiceAPI_MemberToken}","addmemberplaylistcategory","PlaylistCategoryName, PlaylistCategoryDescription, ColorHex, AddToTop","valid","implemented","src/lib/harvest/activity.ts:235","PlaylistCategoryName, PlaylistCategoryDescription, ColorHex, AddToTop","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Update Member Playlist Category","POST","{HM_ServiceAPI_URL}/updatememberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}","updatememberplaylistcategory","PlaylistCategoryName, PlaylistCategoryDescription, ColorHex","valid","implemented","src/lib/harvest/activity.ts:272","PlaylistCategoryName, PlaylistCategoryDescription, ColorHex","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Get Member Playlist Categories","GET","{HM_ServiceAPI_URL}/getmemberplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort}","getmemberplaylistcategories","","not-applicable","implemented","src/lib/harvest/activity.ts:220","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
